uniquekey,complainttype,EstimatedTime,ToolsRequired,priority,status,zipcode,address,streetname,street1,street2,intersectionstreet1,intersectionstreet2,addresstype,city,lastupdated,borough,xcoordinate,ycoordinate,latitude,longitude,location
168,Manhole Inspection,1.0,"Manhole Hook, Manhole Cover Cushions, Probing Rods, Safety Gloves, Smoke Blower, Hydrant Wrench, Handi Clam, Catch Basin Spoon",Medium,Closed,11204,,,65 ST,19 AVE,65 STREET,19 AVENUE,INTERSECTION,BROOKLYN,4/5/11 2:15,BROOKLYN,987563,164377,40.61785272,-73.98806653,"(40.61785271830828, -73.98806652867809)"
169,Transformer,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",Low,Closed,11204,,,65 ST,19 AVE,65 STREET,19 AVENUE,INTERSECTION,BROOKLYN,4/18/11 18:00,BROOKLYN,987563,164377,40.61785272,-73.98806653,"(40.61785271830828, -73.98806652867809)"
170,Transformer ,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",Medium,Closed,11204,20 AVE,20 AVE,65 ST,66 ST,,,BLOCKFACE,BROOKLYN,4/27/11 14:30,BROOKLYN,988088,163782,40.61621935,-73.98617581,"(40.616219354821204, -73.98617580975495)"
171,Transformer ,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",High,Closed,11223,1754 W 11 ST,W 11 ST,QUENTIN RD,HIGHLAWN AVE,,,ADDRESS,BROOKLYN,6/7/11 9:55,BROOKLYN,988760,159365,40.60409528,-73.98375827,"(40.60409528071916, -73.98375826571815)"
172,Gas Pipeline Broken,2.5,"Jackhammer, Ball-peen hammer, Safety Gloves, Side cutters, Hack saw, Needle-nose pliers, Step ladder",Medium,Closed,11223,,,HIGHLAWN AVE,W 5 ST,HIGHLAWN AVENUE,WEST 5 STREET,INTERSECTION,BROOKLYN,8/3/11 2:15,BROOKLYN,990407,159180,40.6035865,-73.97782714,"(40.60358650216692, -73.97782714048334)"
173,Gas Leak,2.0,"Safety Gloves, Needle-nose pliers, Fire Extinguisher, Jackhammer, Ball-peen hammer, Side cutters, Hack saw,  Step ladder",Low,Closed,11214,1827 79 STREET,79 STREET,18 AVENUE,19 AVENUE,,,ADDRESS,BROOKLYN,9/22/11 20:30,BROOKLYN,984904,161768,40.61069215,-73.99764454,"(40.610692147465144, -73.99764453573947)"
174,Transformer,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",Medium,Closed,11223,AVENUE T,AVENUE T,STILLWELL AVENUE,WEST   13 STREET,,,BLOCKFACE,BROOKLYN,10/17/11 9:56,BROOKLYN,988417,157138,40.59798279,-73.98499488,"(40.597982785601296, -73.98499487560922)"
175,Manhole Inspection,1.0,"Manhole Hook, Manhole Cover Cushions, Probing Rods, Safety Gloves, Smoke Blower, Hydrant Wrench, Handi Clam, Catch Basin Spoon",High,Closed,11204,2339 65 STREET,65 STREET,W 4 ST,W 3 ST,,,ADDRESS,BROOKLYN,7/7/16 4:30,BROOKLYN,990336,162180,40.61182094,-73.97808013,"(40.61182093678695, -73.97808012532941)"
176,Transformer,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",Medium,Started,11228,58 BAY 7 STREET,BAY 7 STREET,86 STREET,BENSON AVENUE,,,ADDRESS,BROOKLYN,1/6/14 11:20,BROOKLYN,980894,161962,40.61122403,-74.01208716,"(40.611224026180366, -74.01208715759023)"
177,Transformer ,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",Low,Started,11228,,,,,15 AVENUE,84 STREET,INTERSECTION,BROOKLYN,2/22/15 16:00,BROOKLYN,981944,162452,40.61256931,-74.00830559,"(40.61256931076022, -74.0083055861328)"
178,Transformer ,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",Medium,Started,11214,8879 16 AVENUE,16 AVENUE,CROPSEY AVE,INDEPENDENCE AVE,,,ADDRESS,BROOKLYN,2/22/15 10:40,BROOKLYN,980625,159491,40.60444153,-74.01305468,"(40.60444153124523, -74.01305467671746)"
179,Gas Pipeline Broken,2.5,"Jackhammer, Ball-peen hammer, Safety Gloves, Side cutters, Hack saw, Needle-nose pliers, Step ladder",High,Closed,11219,1568 62 STREET,62 STREET,15 AVE,16 AVE,,,ADDRESS,BROOKLYN,10/20/15 3:50,BROOKLYN,985933,166687,40.62419365,-73.99393724,"(40.62419364630994, -73.99393723506114)"
180,Gas Leak,2.0,"Safety Gloves, Needle-nose pliers, Fire Extinguisher, Jackhammer, Ball-peen hammer, Side cutters, Hack saw,  Step ladder",Medium,Started,11214,42 BAY   13 STREET,BAY   13 STREET,86 ST,BENSON AVE,,,ADDRESS,BROOKLYN,4/20/15 8:45,BROOKLYN,982205,161060,40.60874862,-74.00736511,"(40.60874862096289, -74.00736511343456)"
181,Transformer,1.5,"Cut Resistant Gloves, 11-in-1 Screwdriver, Pipe Reamer, Channel Locks 5-1/2 inch capacity, Pliers, Voltage Detector, Sheet Rock Saw",Low,Started,11214,2166 81 STREET,81 STREET,21 AVE,BAY PKWY,,,ADDRESS,BROOKLYN,1/29/16 11:45,BROOKLYN,986548,159794,40.60527365,-73.99172413,"(40.60527364791391, -73.9917241321553)"
182,Manhole Inspection,1.0,"Manhole Hook, Manhole Cover Cushions, Probing Rods, Safety Gloves, Smoke Blower, Hydrant Wrench, Handi Clam, Catch Basin Spoon",Medium,Started,11223,,,,,WEST 5 STREET,HIGHLAWN AVENUE,INTERSECTION,BROOKLYN,2/6/16 13:00,BROOKLYN,990407,159180,40.6035865,-73.97782714,"(40.60358650216692, -73.97782714048334)"
